"id"	"ipip1"	"ipip2"	"ipip3"	"ipip4"	"ipip5"	"ipip6"	"ipip7"	"ipip8"	"ipip9"	"ipip10"	"ipip11"	"ipip12"	"ipip13"	"ipip14"	"ipip15"	"ipip16"	"ipip17"	"ipip18"	"ipip19"	"ipip20"	"ipip21"	"ipip22"	"ipip23"	"ipip24"	"ipip25"	"ipip26"	"ipip27"	"ipip28"	"ipip29"	"ipip30"	"ipip31"	"ipip32"	"ipip33"	"ipip34"	"ipip35"	"ipip36"	"ipip37"	"ipip38"	"ipip39"	"ipip40"	"ipip41"	"ipip42"	"ipip43"	"ipip44"	"ipip45"	"ipip46"	"ipip47"	"ipip48"	"ipip49"	"ipip50"
1	5	2	5	4	2	1	5	2	3	4	5	3	3	4	5	1	5	3	4	4	5	1	4	5	2	1	5	2	3	1	5	1	3	4	2	1	4	2	4	1	5	5	5	4	5	1	5	3	1	4
2	5	4	4	4	5	1	5	5	4	2	5	4	1	2	5	1	4	2	1	1	5	1	1	4	5	1	5	4	4	1	4	2	2	5	5	1	4	2	5	4	5	5	2	4	4	4	4	2	5	5
4	3	1	4	4	4	3	4	3	3	1	4	1	4	4	5	3	4	3	2	2	4	2	3	3	4	2	4	3	4	1	2	2	3	3	4	3	4	2	3	3	3	4	3	3	4	4	3	3	3	4
6	2	1	4	4	4	3	5	4	4	2	4	2	4	3	4	2	4	2	2	2	5	2	3	2	4	2	4	2	4	2	4	2	4	4	4	3	4	2	4	4	4	4	4	2	4	3	4	4	3	3
7	2	2	2	2	4	4	3	4	4	1	3	2	4	2	3	3	3	3	3	2	2	3	2	5	3	3	3	3	3	3	4	2	2	3	3	3	4	3	4	4	2	3	2	3	4	5	3	4	2	3
10	1	1	4	3	4	5	4	1	3	2	2	1	5	3	3	5	4	2	3	2	1	1	4	3	4	4	4	2	2	3	1	2	4	2	3	5	2	2	1	3	1	4	4	2	5	5	3	4	2	3
12	3	1	4	1	4	4	4	1	4	1	4	1	5	4	4	3	4	1	3	2	4	1	5	1	5	1	5	1	2	1	2	2	5	1	5	5	5	1	1	4	2	5	5	1	4	4	4	5	2	5
13	3	1	2	5	4	3	4	4	4	4	5	4	2	4	5	3	4	3	3	3	3	2	2	3	3	4	4	4	1	2	2	1	4	2	4	2	3	2	3	3	3	3	2	4	5	5	4	5	2	3
14	1	1	3	5	3	5	5	1	1	2	2	1	5	5	5	5	5	4	2	1	4	1	1	5	4	5	5	4	5	1	1	1	5	5	3	5	5	1	5	1	1	5	4	4	5	5	5	3	5	4
15	1	1	3	3	5	4	5	5	4	1	3	1	5	4	5	5	5	3	3	1	4	1	1	5	5	3	5	5	3	1	1	1	1	4	5	5	5	5	3	5	1	4	2	3	4	5	3	1	2	4
16	1	2	2	1	1	4	4	1	4	1	3	1	4	4	2	4	3	1	5	3	2	4	5	2	2	4	2	1	1	4	2	3	5	1	4	5	4	1	1	1	1	3	5	1	1	5	4	3	1	1
17	2	3	2	5	5	4	2	1	4	1	3	3	4	5	5	5	3	1	2	1	2	4	3	4	5	3	2	1	4	2	2	3	5	5	3	5	5	2	5	5	1	3	5	5	5	4	2	3	4	5
18	1	1	1	5	1	3	5	4	2	1	3	1	5	5	5	5	5	3	1	1	1	2	1	5	4	4	5	5	5	1	1	1	3	5	3	5	5	3	5	1	1	5	1	5	5	5	3	5	5	5
20	4	1	2	5	2	2	5	4	4	2	4	3	2	5	5	2	5	5	2	1	4	1	2	4	5	2	5	5	4	1	4	1	2	5	4	2	5	2	5	2	4	5	2	5	5	2	4	2	3	4
23	3	5	2	3	4	1	5	5	2	3	5	1	4	4	2	2	5	2	4	4	5	2	1	4	3	1	5	1	4	2	5	2	1	2	5	4	5	5	1	4	4	5	1	3	4	2	5	5	2	3
24	4	2	5	3	2	2	5	1	4	3	4	2	5	4	4	1	4	1	2	2	4	1	5	2	4	1	4	1	3	2	4	2	5	2	4	2	4	2	1	2	3	4	5	2	4	4	4	5	2	4
26	4	1	2	4	4	2	4	2	2	2	3	3	4	4	4	3	4	3	2	2	4	2	3	4	3	2	4	2	4	2	2	2	4	4	3	3	3	3	4	4	4	4	4	4	4	2	4	3	3	3
27	2	2	4	4	4	2	5	1	4	3	3	1	4	4	5	3	4	2	3	1	2	1	4	2	3	2	4	2	3	1	2	2	4	5	4	2	4	1	4	2	2	4	4	2	5	2	4	3	2	4
28	3	1	4	1	5	1	5	3	4	1	4	2	4	2	4	2	4	1	5	1	4	1	4	1	4	2	5	4	1	1	3	1	4	1	5	3	5	1	1	3	3	4	4	1	4	3	4	3	1	4
31	1	1	3	2	5	4	4	2	2	1	2	4	4	3	5	5	4	2	3	1	3	2	4	4	5	2	2	1	2	1	2	2	1	3	4	5	3	1	2	4	1	4	3	4	5	5	2	3	1	5
32	3	2	4	3	4	2	5	2	4	3	5	4	4	4	4	2	4	2	4	4	5	2	4	2	4	2	4	2	2	2	5	2	4	2	4	4	5	2	1	3	3	4	3	2	4	2	5	4	1	4
33	3	1	4	2	4	3	4	1	4	1	2	1	4	2	3	3	4	2	4	2	3	1	5	1	5	4	5	1	1	2	1	1	5	2	4	1	5	1	1	4	5	4	5	1	4	5	5	5	1	3
36	3	1	3	2	5	2	5	5	3	1	5	2	3	3	5	3	5	3	2	1	3	1	1	4	4	2	4	4	2	1	3	1	2	3	3	2	4	3	4	4	3	5	3	2	4	4	4	2	4	4
39	2	2	3	4	2	4	5	3	3	2	4	1	4	4	3	3	4	1	5	1	4	1	3	2	4	2	4	3	1	3	3	1	4	1	4	3	4	2	1	2	5	4	5	2	4	2	5	5	1	3
40	4	2	5	4	4	1	5	3	3	2	4	2	4	4	3	1	4	3	3	4	4	1	3	1	4	2	4	2	3	2	5	1	3	4	4	2	4	2	4	4	4	4	3	3	2	1	3	4	1	4
41	1	2	4	4	5	4	4	1	5	1	4	1	5	4	4	3	4	2	2	1	3	2	4	3	4	3	4	1	2	2	1	2	4	4	5	4	5	1	4	4	4	4	5	5	5	4	2	5	3	5
42	3	1	4	5	5	1	5	1	1	1	4	4	5	5	5	2	5	1	2	1	5	1	3	1	4	1	5	1	5	1	3	1	5	5	5	1	5	1	5	4	5	5	5	5	5	1	4	5	4	5
43	3	2	4	2	4	2	4	3	4	2	3	3	3	3	3	2	4	2	2	2	4	2	2	3	4	2	2	3	3	2	4	4	4	3	4	3	4	3	2	4	3	4	3	2	3	2	3	3	4	4
47	5	1	4	3	3	1	5	1	3	2	5	4	5	4	5	1	4	2	2	4	4	1	4	3	3	1	4	1	1	1	5	1	4	4	4	1	5	1	3	3	5	5	3	3	3	1	4	5	1	4
49	2	1	2	2	5	2	5	4	4	1	3	1	4	4	5	3	5	3	4	1	4	1	3	2	4	1	5	4	2	1	2	1	3	2	4	4	5	2	2	3	3	5	2	2	5	4	4	3	1	5
50	5	1	4	4	4	1	5	4	3	2	4	3	4	4	3	2	5	4	3	2	4	1	2	3	2	2	4	4	3	2	4	2	4	3	2	3	4	2	2	2	4	4	4	3	3	3	3	2	2	3
55	3	1	3	3	3	2	5	2	4	2	4	2	4	2	4	3	5	2	2	2	4	1	4	4	4	2	5	3	2	2	4	1	3	2	4	4	4	2	2	3	4	4	3	1	5	4	5	4	1	4
56	4	1	5	3	3	1	5	1	4	2	5	4	4	4	4	1	3	1	2	2	5	1	4	4	3	1	4	1	2	2	4	1	5	4	4	2	5	1	4	3	4	4	4	4	4	2	5	4	1	2
57	2	2	3	2	4	2	5	2	3	2	5	1	3	3	4	2	5	2	2	2	4	1	2	2	4	2	4	4	2	2	3	2	3	3	5	2	4	3	2	2	3	3	3	2	4	4	5	4	1	4
58	3	2	2	3	3	2	4	5	4	2	5	1	2	4	5	2	3	3	3	2	4	2	1	2	4	2	5	5	2	2	3	2	5	3	4	2	4	4	3	3	4	4	3	2	2	2	4	3	2	4
59	3	2	3	2	2	2	4	2	3	2	5	2	3	4	4	1	5	3	2	2	4	2	2	2	3	2	4	2	3	3	4	1	2	2	2	2	5	4	2	2	3	4	3	2	2	2	5	4	2	3
61	1	1	2	2	3	3	5	3	5	1	2	1	2	2	4	2	5	2	2	2	2	2	1	4	3	4	5	4	1	3	2	2	4	3	3	5	3	1	2	2	2	5	2	2	4	5	4	2	3	3
62	2	3	4	2	4	3	4	2	4	1	4	3	5	4	5	3	4	2	4	1	3	2	4	2	4	2	3	2	2	2	3	2	4	2	5	3	4	2	1	3	3	4	4	3	4	4	3	4	1	4
63	3	1	4	4	3	3	3	1	4	3	3	1	4	4	4	3	4	1	3	2	3	2	4	4	4	3	5	1	4	2	2	3	4	3	3	3	3	1	3	3	3	4	5	3	5	3	3	3	3	3
65	3	2	2	5	3	3	4	3	2	2	3	1	3	4	4	3	4	4	1	1	3	1	2	5	4	3	4	2	5	2	3	2	4	4	3	2	4	3	5	4	4	4	2	4	4	3	4	3	5	4
67	1	1	4	5	4	5	5	1	1	1	1	2	5	5	5	5	3	2	1	1	1	2	3	5	4	4	3	1	5	1	1	2	5	5	4	5	2	2	5	4	1	4	5	5	5	5	1	5	5	4
68	4	1	1	1	5	2	5	4	2	1	3	1	5	2	3	2	5	2	2	1	3	5	4	4	5	2	5	3	2	2	3	1	4	3	5	1	5	2	2	5	5	5	2	3	5	2	3	5	2	5
71	1	1	3	5	3	4	4	5	1	2	3	1	2	5	5	3	4	4	1	2	2	2	1	5	3	2	4	4	4	1	2	1	2	5	3	3	4	3	5	2	3	4	1	5	5	4	2	3	5	4
75	3	1	4	4	2	1	4	3	3	1	5	2	4	4	4	2	4	3	3	1	4	2	3	3	3	2	4	3	3	2	4	4	3	4	4	2	4	3	5	2	4	4	4	4	4	2	3	3	2	3
76	2	1	4	4	5	3	4	1	1	1	2	1	5	4	5	4	5	3	1	1	1	2	2	3	4	3	5	2	4	1	1	3	4	2	5	2	3	2	4	5	3	5	4	3	5	4	3	5	5	5
77	2	1	4	5	3	4	5	2	4	3	5	1	5	5	5	4	5	3	2	2	4	1	1	3	3	4	4	2	3	1	2	2	4	5	5	4	5	3	5	2	2	5	2	3	5	4	4	4	3	3
78	5	1	5	1	4	1	5	1	3	1	5	1	5	2	5	1	5	1	5	1	5	1	3	1	5	1	5	1	1	1	5	1	3	1	5	3	5	3	3	3	5	5	5	1	4	4	4	4	1	5
79	2	2	4	2	4	4	4	2	5	2	4	3	4	2	3	3	5	2	3	2	2	2	3	2	4	3	4	1	1	1	1	2	2	2	4	2	3	3	2	2	2	4	2	3	2	5	4	4	1	4
80	3	1	4	3	4	3	5	2	4	2	4	1	5	4	4	2	5	2	4	2	4	1	3	3	4	2	5	2	3	2	4	1	4	3	5	4	3	2	3	4	2	4	4	3	5	3	3	4	2	4
82	4	1	4	5	4	2	5	4	2	3	4	2	3	4	4	2	5	4	2	1	4	2	2	4	5	1	5	3	5	1	3	1	5	4	4	2	4	3	4	4	4	5	5	3	5	4	3	3	3	5
84	2	1	4	5	3	4	5	3	3	4	4	1	4	5	5	5	5	3	2	3	2	1	2	2	3	4	4	4	3	1	1	1	3	4	4	5	4	3	4	2	1	5	4	4	4	5	3	4	4	4
85	2	1	4	3	4	3	4	2	4	1	5	1	3	2	5	4	5	2	2	1	3	1	3	4	5	2	4	4	1	1	2	1	4	2	4	3	5	4	3	1	1	5	4	1	4	4	3	3	1	5
92	2	1	3	4	5	2	5	5	3	2	4	1	5	4	4	3	5	3	2	4	4	2	5	2	3	2	4	4	4	2	2	2	4	4	3	3	4	2	3	3	4	3	2	3	5	5	3	4	2	3
95	4	1	4	3	5	2	5	4	4	1	5	2	4	3	4	2	4	1	2	2	4	1	3	3	4	1	5	4	2	1	5	1	4	3	4	2	4	1	3	5	5	4	4	4	5	3	4	4	3	4
96	2	2	3	2	3	4	5	4	4	3	4	3	4	4	4	4	5	3	2	2	4	2	3	5	3	4	4	4	4	3	4	1	4	5	4	4	4	4	4	4	3	5	4	4	4	4	4	3	4	4
97	4	2	2	2	2	2	4	4	4	2	4	4	3	2	3	2	4	4	4	3	4	3	2	2	3	2	4	4	3	2	4	2	2	2	4	2	3	2	3	2	4	4	4	2	2	2	3	3	2	3
99	4	2	3	3	3	2	4	4	4	2	4	1	3	3	4	1	4	3	3	2	4	2	3	2	5	2	5	3	2	2	4	2	2	3	3	3	5	3	3	4	4	4	3	2	5	2	4	3	1	5
100	3	1	4	1	4	3	5	4	4	2	4	1	4	4	4	2	5	4	4	1	5	1	4	4	4	2	5	3	1	1	4	1	4	4	4	4	4	2	4	4	2	5	4	2	5	4	5	4	1	4
101	4	1	3	4	4	1	5	4	3	2	5	2	5	4	4	1	5	4	2	2	5	1	2	4	5	1	4	3	2	2	5	1	2	3	5	2	1	2	2	4	5	4	2	3	4	2	4	4	2	4
103	5	2	3	1	4	1	4	4	5	1	5	4	5	1	5	2	4	3	4	1	4	2	2	2	5	1	4	4	2	1	5	2	4	4	5	2	4	4	4	3	5	4	4	2	4	1	2	2	1	5
105	1	3	4	4	3	1	1	4	4	2	1	3	4	5	4	5	3	3	3	2	1	3	1	2	4	2	2	4	4	2	1	3	2	2	2	5	2	3	2	1	1	3	2	2	5	5	2	5	2	4
107	4	2	4	5	4	1	4	5	2	2	4	4	4	4	5	2	5	3	4	4	5	1	3	4	4	1	5	1	2	1	1	1	4	4	4	2	5	1	4	4	5	5	3	2	4	5	4	4	4	5
109	2	1	4	1	2	1	5	3	5	4	5	1	2	4	4	2	5	2	3	4	5	1	1	4	5	1	4	5	1	1	5	2	1	4	5	2	5	4	3	1	4	5	3	1	3	3	4	4	1	4
110	3	2	3	2	3	2	5	2	5	2	5	2	3	2	2	2	4	2	2	2	4	2	3	2	3	2	4	2	2	2	4	2	4	3	4	2	4	2	2	2	4	4	4	2	4	4	4	4	2	4
111	1	2	4	4	3	4	3	1	2	4	4	1	4	4	2	4	4	2	4	2	2	2	4	3	2	3	4	2	4	3	2	2	4	3	4	4	4	2	2	2	2	4	4	2	4	4	3	4	2	4
112	2	2	4	5	4	4	2	1	2	2	5	2	5	5	1	2	5	1	4	2	4	3	2	5	2	2	1	2	4	4	3	2	5	4	4	2	2	2	4	3	5	3	5	4	4	4	4	5	2	2
113	1	1	5	4	5	4	5	1	1	1	4	1	5	5	4	5	5	1	3	3	2	1	5	1	5	2	5	1	4	2	2	2	5	4	5	5	5	3	2	5	2	5	5	5	5	5	4	4	4	4
117	4	2	2	4	4	3	5	4	4	1	5	2	4	4	3	2	4	3	3	2	4	2	3	3	4	1	4	4	3	2	4	2	4	4	4	3	5	1	3	3	4	4	4	3	4	3	5	3	2	4
118	4	1	5	3	5	1	5	2	4	2	4	1	4	4	5	1	5	1	3	2	4	1	5	1	4	1	5	1	3	1	4	1	4	1	5	2	5	1	1	5	4	5	4	1	4	2	5	5	1	4
120	5	2	2	4	5	1	5	5	4	3	5	1	2	3	2	2	3	5	2	3	5	2	4	3	3	1	4	5	1	3	5	2	2	2	2	5	4	3	3	5	5	3	3	2	2	2	5	3	2	2
121	1	1	1	3	4	1	5	3	3	2	4	2	2	3	4	3	5	2	3	2	5	1	3	4	4	2	4	2	3	2	4	1	2	3	4	3	5	2	2	2	2	4	2	3	4	3	4	3	1	4
122	2	1	3	4	3	2	4	4	3	4	4	4	4	4	4	3	4	3	2	2	3	2	2	4	2	2	5	3	4	2	4	2	3	4	3	4	3	3	3	3	3	4	3	4	4	4	4	3	4	3
125	1	1	4	5	3	1	5	2	3	3	2	1	5	5	1	4	5	2	5	4	2	1	2	3	3	1	5	3	5	4	2	1	5	2	5	5	4	3	2	3	1	5	5	4	5	5	4	5	2	1
126	3	2	5	4	3	1	4	4	4	3	5	5	4	4	4	2	4	2	4	3	5	2	3	4	4	1	4	4	4	2	5	2	4	4	4	2	4	3	3	4	5	4	4	4	4	2	5	4	2	4
128	4	1	4	4	2	1	5	3	3	1	4	3	5	2	5	2	3	2	2	2	4	2	2	2	3	2	4	2	4	2	5	1	4	4	4	3	4	3	4	2	4	4	4	3	5	2	4	3	4	5
129	4	4	2	1	5	2	5	3	5	1	5	2	4	1	5	2	4	2	4	1	5	2	2	2	4	1	4	4	1	2	5	1	2	2	5	3	4	3	1	4	3	3	2	1	4	3	5	3	1	5
131	3	2	1	2	2	1	4	1	3	1	5	4	3	3	3	1	3	4	2	1	3	2	2	4	4	1	3	1	2	2	4	2	3	4	3	2	4	4	5	3	4	3	4	4	5	2	2	4	4	3
133	2	2	5	1	4	1	5	1	4	4	5	1	5	2	2	3	4	1	5	4	3	2	5	2	4	1	1	1	1	5	4	1	5	1	5	4	4	2	2	4	2	5	5	1	4	4	5	5	1	4
135	5	1	4	2	5	1	4	1	4	3	5	4	4	4	3	1	4	1	3	4	4	2	4	3	3	2	4	1	1	3	5	1	5	1	3	2	4	2	1	4	4	4	4	2	2	1	4	3	2	2
137	2	1	3	4	2	3	4	2	3	4	4	2	3	4	4	5	5	2	2	3	3	2	4	3	2	3	4	2	5	3	3	3	4	4	3	3	3	3	3	2	3	3	3	5	3	3	3	3	3	2
143	3	1	4	4	3	1	4	1	2	1	5	1	4	4	3	1	4	1	2	1	4	1	4	3	4	2	4	1	4	1	4	1	4	2	4	2	5	2	2	3	3	4	2	4	4	2	4	4	2	4
146	3	1	2	2	4	2	5	5	4	2	5	1	5	4	4	1	5	4	4	2	5	1	4	4	4	2	4	2	4	2	5	1	4	4	5	2	4	1	4	4	4	4	4	4	5	2	3	4	2	4
147	3	2	1	2	2	2	5	5	4	3	4	3	4	3	5	2	4	4	3	3	4	2	1	2	4	2	3	2	2	2	4	2	4	4	4	2	5	4	3	2	4	4	1	3	4	4	4	2	2	4
148	2	1	2	4	4	2	5	4	2	1	4	4	4	4	4	3	5	4	2	1	4	1	2	4	4	2	5	2	2	2	2	2	3	2	2	4	4	4	2	4	4	4	4	4	5	4	4	2	3	4
149	4	2	4	2	1	1	5	2	5	1	5	1	5	1	4	1	5	1	4	1	4	1	4	1	5	1	5	1	1	1	5	1	4	1	5	2	5	1	1	1	2	5	3	1	5	2	4	4	1	5
150	2	2	3	2	4	3	4	2	4	1	4	2	5	3	5	3	4	3	4	1	3	2	2	3	4	2	4	1	1	1	2	2	3	2	2	4	4	2	2	4	3	4	3	2	4	4	4	3	2	4
151	3	1	4	4	3	2	4	2	4	2	4	1	3	4	5	4	5	1	3	2	3	2	3	4	3	2	5	2	3	1	4	3	5	3	2	5	4	1	3	3	1	4	3	2	4	3	3	3	3	3
152	4	1	2	5	4	3	4	5	2	2	4	2	4	5	4	3	4	4	2	3	5	2	2	3	4	2	4	3	4	2	4	2	4	3	4	3	4	3	2	4	4	4	4	4	4	2	4	5	4	4
153	1	1	3	5	2	3	3	2	1	3	1	3	3	5	3	5	5	3	1	3	3	1	3	5	3	3	3	1	5	3	1	1	2	5	2	5	5	3	5	3	1	4	3	5	5	5	3	3	5	3
155	4	5	4	5	4	1	5	4	2	4	4	3	5	5	4	4	5	2	4	1	5	1	4	4	3	1	5	2	4	1	4	1	5	5	4	2	5	1	2	4	4	5	5	4	3	1	5	5	1	4
156	4	2	3	4	3	3	4	1	4	3	3	3	4	4	4	3	4	4	2	2	4	2	1	4	3	3	4	2	4	2	4	2	4	5	4	2	4	3	5	4	4	4	4	4	4	4	4	3	4	3
158	1	2	1	5	2	3	3	4	2	5	3	1	3	5	1	3	4	4	1	4	3	2	2	5	1	4	5	5	5	5	4	3	3	5	2	4	4	3	5	4	4	4	2	5	5	4	3	3	5	2
159	3	1	5	2	5	5	5	1	3	1	4	1	5	3	5	5	5	1	2	1	3	1	4	3	5	3	5	2	3	1	3	1	5	4	5	3	3	2	4	4	3	5	4	3	5	5	4	5	4	5
161	2	1	4	5	3	3	5	2	4	1	3	1	5	5	5	5	5	3	2	1	2	1	1	3	4	2	5	3	4	1	1	1	4	5	4	5	4	5	4	2	2	5	3	4	5	5	5	5	3	5
162	2	1	1	4	5	5	5	3	3	1	2	1	5	5	5	4	5	4	4	1	1	2	1	5	5	1	4	5	3	1	2	2	4	2	5	3	4	5	1	5	4	4	3	4	5	5	4	4	2	5
164	3	2	4	4	4	2	4	1	3	4	4	3	4	4	2	3	3	2	2	5	4	3	1	2	3	2	4	4	5	4	4	3	4	2	4	4	4	2	4	2	3	4	4	4	5	5	3	4	2	2
165	1	4	2	4	4	3	3	1	3	4	3	4	3	4	4	3	5	3	3	3	3	2	4	3	3	3	3	1	3	2	2	3	5	3	2	3	3	2	1	2	2	3	3	3	2	3	3	3	2	3
166	4	2	3	1	4	1	5	3	5	2	5	1	3	2	4	3	4	2	5	1	4	2	2	2	4	1	4	2	1	1	4	2	5	1	4	2	5	2	1	4	5	4	2	1	5	3	4	3	1	5
167	4	1	1	5	5	1	5	4	4	1	5	1	4	4	5	1	5	2	5	1	5	1	5	1	5	1	5	1	1	1	5	1	5	3	5	5	5	1	4	5	5	5	4	3	5	1	5	4	1	5
168	3	2	4	5	5	2	4	1	1	3	5	1	2	5	1	5	5	1	1	5	5	5	3	5	1	1	5	1	5	5	4	1	4	4	3	5	4	4	5	5	1	4	5	1	5	1	1	4	5	1
169	2	2	2	3	2	4	3	2	5	3	3	1	2	4	3	4	4	2	3	3	3	2	3	4	3	4	4	2	3	3	3	4	2	3	3	5	4	3	2	2	3	3	4	2	3	3	3	2	3	3
170	4	1	5	5	4	2	4	1	2	3	4	2	4	5	5	2	5	2	4	2	4	1	4	4	4	1	5	1	4	1	4	1	4	3	4	2	5	1	3	3	4	5	4	4	4	4	4	3	2	4
171	3	1	4	4	4	1	5	5	4	2	5	2	4	4	2	2	5	4	4	2	4	1	2	2	3	1	5	4	3	3	3	2	3	3	5	2	4	1	2	4	4	4	3	4	4	2	4	3	2	4
173	3	4	3	4	2	2	4	1	3	3	3	1	3	4	2	3	4	2	2	3	4	2	3	2	2	4	4	2	4	4	3	2	4	3	3	3	4	2	2	2	4	4	4	3	4	3	3	3	4	3
175	1	2	4	2	3	3	3	4	3	2	4	1	5	3	3	4	4	1	4	2	3	1	2	4	5	2	3	3	2	1	3	2	4	3	4	3	3	1	3	1	2	4	5	2	4	1	4	4	2	5
176	2	1	1	5	2	2	5	1	3	4	4	3	2	5	5	4	5	3	1	4	4	2	1	4	2	2	5	2	4	2	4	2	3	4	2	4	5	2	2	1	2	5	2	4	2	4	4	2	2	2
179	4	1	4	3	4	2	4	2	4	2	4	2	4	4	4	2	4	2	4	1	5	2	5	2	4	2	4	2	2	2	4	2	5	2	4	3	3	1	2	4	4	4	4	2	4	3	3	4	2	4
132	3	5	2	5	3	3	4	4	2	3	4	1	4	5	3	2	4	2	4	1	4	1	1	5	3	2	4	4	5	3	2	1	4	4	2	4	4	3	2	3	2	4	3	4	4	4	3	3	1	3
119	5	1	5	5	5	1	5	1	2	2	5	1	4	5	4	1	5	1	3	2	5	1	5	4	5	1	5	1	5	3	5	1	5	5	4	2	5	1	5	5	5	5	5	5	5	3	4	5	3	4
21	4	1	2	2	5	1	5	1	4	1	4	2	5	3	5	1	5	3	4	1	5	1	4	3	5	1	5	2	2	1	5	1	5	4	5	1	4	3	2	5	5	5	4	3	3	1	4	3	2	5
8	3	1	3	1	3	4	3	4	5	2	3	1	4	2	4	4	4	4	5	2	3	2	2	1	4	4	4	4	1	1	2	3	4	2	4	4	4	3	1	3	3	4	2	1	4	4	4	4	1	4
124	3	1	3	2	4	2	5	2	2	3	4	1	4	3	4	2	4	1	5	1	4	1	2	4	5	1	3	3	2	1	4	1	5	3	3	4	4	1	3	4	2	4	5	2	4	2	4	4	1	5
130	4	1	4	5	4	4	4	3	2	2	3	1	5	5	4	3	4	2	4	2	2	3	3	4	4	3	4	2	4	1	3	2	4	3	3	2	3	3	2	3	5	4	4	3	4	4	3	4	3	4
54	4	1	4	4	3	1	5	1	3	1	5	1	5	4	5	2	5	2	2	1	5	2	4	2	4	1	4	3	2	2	5	1	3	2	5	2	5	2	1	3	5	5	3	2	5	1	4	3	1	4
160	4	1	3	2	5	1	5	3	3	1	5	1	3	2	5	1	5	3	5	1	5	1	2	2	5	1	3	3	1	1	4	1	3	1	4	2	5	2	1	3	2	5	3	2	4	1	5	4	1	5
94	4	1	2	4	4	4	4	4	4	4	4	3	4	4	3	4	5	3	4	1	4	1	2	4	4	2	5	4	3	4	2	2	3	2	4	2	5	4	3	5	4	5	1	4	5	2	4	4	2	4
30	1	1	2	4	3	2	4	5	2	1	2	1	3	4	5	3	4	1	5	1	4	2	2	1	4	2	3	2	2	1	3	2	3	4	5	3	5	1	3	3	4	4	2	2	5	1	3	3	1	4
